PM10,PM2.5,SO2,NO2,O3,CO,Latitude,Longitude
15.0,5.0,0.003,0.045,0.008,0.6,37.5720164,127.0050075
19.0,8.0,0.004,0.038,0.012,0.5,37.5720164,127.0050075
22.0,10.0,0.004,0.039,0.013,0.5,37.5720164,127.0050075
22.0,7.0,0.004,0.034,0.018,0.4,37.5720164,127.0050075
19.0,9.0,0.005,0.033,0.019,0.4,37.5720164,127.0050075
19.0,15.0,0.004,0.035,0.017,0.5,37.5720164,127.0050075
21.0,15.0,0.004,0.036,0.019,0.5,37.5720164,127.0050075
25.0,13.0,0.004,0.041,0.014,0.5,37.5720164,127.0050075
31.0,23.0,0.004,0.054,0.004,0.6,37.5720164,127.0050075
35.0,21.0,0.004,0.059,0.002,0.7,37.5720164,127.0050075
39.0,23.0,0.004,0.06,0.002,0.7,37.5720164,127.0050075
40.0,27.0,0.004,0.054,0.002,0.7,37.5720164,127.0050075
35.0,22.0,0.004,0.058,0.002,0.8,37.5720164,127.0050075
37.0,21.0,0.004,0.068,0.002,1.0,37.5720164,127.0050075
40.0,22.0,0.005,0.071,0.002,1.2,37.5720164,127.0050075
41.0,27.0,0.004,0.071,0.002,1.3,37.5720164,127.0050075
38.0,26.0,0.005,0.073,0.002,1.4,37.5720164,127.0050075
43.0,33.0,0.004,0.064,0.002,1.2,37.5720164,127.0050075
44.0,32.0,0.004,0.061,0.002,1.2,37.5720164,127.0050075
42.0,31.0,0.004,0.054,0.002,1.1,37.5720164,127.0050075
42.0,33.0,0.004,0.049,0.002,0.9,37.5720164,127.0050075
42.0,33.0,0.004,0.048,0.002,0.9,37.5720164,127.0050075
45.0,36.0,0.004,0.052,0.002,1.1,37.5720164,127.0050075
52.0,39.0,0.004,0.048,0.002,1.0,37.5720164,127.0050075
55.0,42.0,0.004,0.051,0.003,1.0,37.5720164,127.0050075
53.0,38.0,0.004,0.04,0.006,0.7,37.5720164,127.0050075
50.0,36.0,0.005,0.044,0.0069999999999999,0.8,37.5720164,127.0050075
58.0,39.0,0.006,0.043,0.011,0.7,37.5720164,127.0050075
60.0,44.0,0.006,0.043,0.017,0.6,37.5720164,127.0050075
69.0,52.0,0.005,0.057,0.009,0.7,37.5720164,127.0050075
73.0,54.0,0.005,0.061,0.0069999999999999,0.7,37.5720164,127.0050075
76.0,56.0,0.005,0.061,0.005,0.7,37.5720164,127.0050075
77.0,61.0,0.005,0.066,0.002,0.9,37.5720164,127.0050075
73.0,57.0,0.004,0.068,0.002,1.0,37.5720164,127.0050075
65.0,48.0,0.005,0.067,0.002,0.9,37.5720164,127.0050075
60.0,44.0,0.005,0.063,0.002,0.9,37.5720164,127.0050075
57.0,42.0,0.005,0.064,0.002,0.9,37.5720164,127.0050075
56.0,40.0,0.005,0.065,0.002,1.0,37.5720164,127.0050075
58.0,41.0,0.005,0.062,0.002,0.9,37.5720164,127.0050075
51.0,39.0,0.005,0.062,0.002,1.1,37.5720164,127.0050075
44.0,33.0,0.005,0.055,0.002,0.8,37.5720164,127.0050075
40.0,29.0,0.004,0.052,0.003,0.7,37.5720164,127.0050075
36.0,26.0,0.004,0.054,0.002,0.8,37.5720164,127.0050075
37.0,25.0,0.004,0.042,0.006,0.6,37.5720164,127.0050075
32.0,23.0,0.004,0.04,0.0069999999999999,0.6,37.5720164,127.0050075
32.0,24.0,0.004,0.044,0.005,0.6,37.5720164,127.0050075
29.0,20.0,0.004,0.047,0.003,0.6,37.5720164,127.0050075
33.0,23.0,0.004,0.047,0.005,0.7,37.5720164,127.0050075
30.0,22.0,0.004,0.036,0.013,0.6,37.5720164,127.0050075
27.0,20.0,0.004,0.032,0.019,0.5,37.5720164,127.0050075
21.0,14.0,0.004,0.023,0.027,0.5,37.5720164,127.0050075
24.0,17.0,0.005,0.024,0.027,0.4,37.5720164,127.0050075
23.0,17.0,0.004,0.027,0.026,0.4,37.5720164,127.0050075
22.0,17.0,0.005,0.032,0.021,0.4,37.5720164,127.0050075
31.0,21.0,0.004,0.033,0.019,0.5,37.5720164,127.0050075
28.0,21.0,0.004,0.03,0.021,0.5,37.5720164,127.0050075
25.0,18.0,0.004,0.034,0.018,0.5,37.5720164,127.0050075
26.0,18.0,0.004,0.03,0.022,0.4,37.5720164,127.0050075
22.0,17.0,0.004,0.019,0.029,0.4,37.5720164,127.0050075
23.0,20.0,0.004,0.021,0.026,0.5,37.5720164,127.0050075
30.0,24.0,0.003,0.017,0.028,0.5,37.5720164,127.0050075
29.0,22.0,0.003,0.02,0.024,0.5,37.5720164,127.0050075
35.0,29.0,0.003,0.016,0.03,0.5,37.5720164,127.0050075
39.0,32.0,0.003,0.014,0.035,0.5,37.5720164,127.0050075
40.0,29.0,0.003,0.012,0.036,0.4,37.5720164,127.0050075
41.0,30.0,0.003,0.012,0.035,0.5,37.5720164,127.0050075
41.0,32.0,0.003,0.012,0.034,0.5,37.5720164,127.0050075
45.0,34.0,0.003,0.011,0.037,0.5,37.5720164,127.0050075
43.0,32.0,0.003,0.013,0.035,0.5,37.5720164,127.0050075
43.0,36.0,0.003,0.02,0.03,0.6,37.5720164,127.0050075
45.0,37.0,0.004,0.024,0.027,0.6,37.5720164,127.0050075
65.0,53.0,0.004,0.029,0.018,1.0,37.5720164,127.0050075
94.0,84.0,0.006,0.03,0.018,1.2,37.5720164,127.0050075
94.0,83.0,0.0069999999999999,0.025,0.023,1.1,37.5720164,127.0050075
91.0,81.0,0.0069999999999999,0.03,0.021,1.1,37.5720164,127.0050075
85.0,75.0,0.006,0.024,0.027,0.9,37.5720164,127.0050075
73.0,65.0,0.006,0.021,0.033,0.7,37.5720164,127.0050075
62.0,47.0,0.006,0.021,0.035,0.6,37.5720164,127.0050075
52.0,42.0,0.006,0.021,0.035,0.5,37.5720164,127.0050075
55.0,41.0,0.006,0.024,0.032,0.5,37.5720164,127.0050075
54.0,44.0,0.005,0.028,0.028,0.6,37.5720164,127.0050075
50.0,38.0,0.005,0.034,0.022,0.6,37.5720164,127.0050075
49.0,39.0,0.005,0.031,0.022,0.5,37.5720164,127.0050075
46.0,36.0,0.005,0.024,0.026,0.6,37.5720164,127.0050075
45.0,37.0,0.005,0.019,0.029,0.5,37.5720164,127.0050075
47.0,36.0,0.004,0.024,0.023,0.5,37.5720164,127.0050075
47.0,35.0,0.004,0.024,0.022,0.5,37.5720164,127.0050075
44.0,34.0,0.004,0.026,0.019,0.5,37.5720164,127.0050075
38.0,28.0,0.004,0.018,0.025,0.4,37.5720164,127.0050075
36.0,27.0,0.004,0.015,0.028,0.4,37.5720164,127.0050075
